Diagnosis,Symptoms
ankle contusion,"{'ankle contusion': 1.0, 'ankle injury': 0.8, 'warmth': 0.8, 'swelling': 0.8, 'pain': 0.8, 'ankle bruise': 0.8, 'tenderness': 0.8, 'joint immobility': 0.7}"
arm contusion,"[{'forearm contusion': 1.0, 'limited arm motion': 0.9, 'arm injury': 0.8, 'pain': 0.8, 'swelling': 0.8, 'redness': 0.8, 'bruise': 0.8, 'tenderness': 0.8}]"
athlete's foot,"[{'tinea pedis detected': 1.0, 'itching': 0.8, 'nail discoloration': 0.6, 'crumbly nail': 0.6, 'nail thickening': 0.4}]"
bacterial tonsillitis,"[{'s. pyogenes present': 1.0, 'fever': 0.8, 'red swollen tonsils': 0.8, 'sore throat': 0.8, 'sputum cough': 0.8, 'painful lymph nodes': 0.8, 'pain in the ears': 0.8, 'suppurative tonsils': 0.8, 'nasal congestion': 0.8, 'orl findings': 0.8, 'headache': 0.7}]"
beef tapeworm,"[{'beef tapeworm detected': 1.0, 'abdominal pain': 0.8, 'dizziness': 0.8, 'headache': 0.8, 'weight loss': 0.8, 'loss of appetite': 0.7}]"
bronchitis,"[{'bronchial infection': 1.0, 'dry cough': 0.8, 'fatigue': 0.8, 'breathing problems': 0.8, 'fever': 0.8, 'chills': 0.8, 'headache': 0.8, 'wheezing': 0.8, 'chest pain': 0.7, 'abnormal lung findings': 0.2}]"
chest contusion,"[{'thorax contusion': 1.0, 'chest injury': 0.8, 'pain': 0.8, 'swelling': 0.8, 'breathing problems': 0.8, 'redness': 0.8, 'bruise': 0.8, 'tenderness': -0.01}]"
chickenpox,"[{'papulas and vesicles': 1.0, 'vomiting': 0.8, 'loss of appetite': 0.8, 'headache': 0.8, 'muscle and joint pain': 0.8, 'fever': 0.8, 'itchy blisters': 0.5}]"
chronic fatigue syndrome,"[{'chronic fatigue syndrome': 1.0, 'sleeping problems': 0.8, 'fatigue': 0.8, 'weakness': 0.8, 'long reaction time': 0.8, 'muscle and joint pain': 0.6, 'night sweats': 0.6, 'depression': 0.6, 'sore throat': 0.2, 'trouble rising': 0.2}]"
common cold,"[{'nasal viral infection': 1.0, 'sore throat': 0.9, 'headache': 0.8, 'nasal congestion': 0.8, 'fever': 0.8, 'breathing problems': 0.8, 'dry cough': 0.7, 'wheezing': 0.6, 'malaise': 0.6, 'sneezing': 0.6, 'inflamed sinuses': 0.35}]"
