Diagnosis,Symptoms
acute renal failure,"{'kidney tissue damaged': 1.0, 'oliguria': 0.7, 'abdominal pain': 0.7, 'fatigue': 0.7, 'loss of appetite': 0.7, 'vomiting': 0.7, 'hypertension': 0.7, 'lipiduria': 0.6, 'confusion': 0.6, 'edema': 0.5, 'hypocalcaemia': 0.5, 'tremor': 0.5, 'azotemia': 0.5, 'chest pain': 0.5, 'elevated crp': 0.01}"
appendicitis,"[{'abdominal pain': 0.7, 'diarrhea': 0.7, 'loss of appetite': 0.6, 'nausea': 0.7, 'vomiting': 0.7, 'fever': 0.7, 'tenderness': 0.7, 'abdominal cramps': 0.7, 'elevated crp': 0.6, 'bellybutton pain': 1.0}]"
bacterial gastroenteritis,"[{'diarrhea': 0.7, 'weight loss': 0.5, 'thirst': 0.6, 'bloating': 0.5, 'abdominal cramps': 0.7, 'stomach pain': 0.4, 'fever': 0.7, 'stool containing bacterias': 1.0}]"
blunt pancreas laceration,"[{'abdominal injury': 1.0, 'abdominal pain': 1.0, 'tachycardia': 0.6, 'hypotension': 0.5, 'bruise': 0.6, 'blunt pancreas laceration': 1.0}]"
blunt spleen rupture,"[{'abdominal injury': 1.0, 'abdominal pain': 0.7, 'bruise': 0.7, 'confusion': 0.7, 'fainting': 0.7, 'anxiety': 0.7, 'nausea': 0.7, 'hypotension': 0.7, 'pale skin': 0.5, 'tachycardia': 0.7, 'blunt spleen rupture': 1.0}]"
calculus in bladder,"[{'abdominal pain': 0.7, 'dysuria': 0.5, 'frequent urination': 0.6, 'strong-smelling urine': 0.6, 'hematuria': 0.6, 'painful urination': 0.6, 'cloudy urine': 0.7, 'bladder stones detected': 1.0}]"
calculus of ureter,"[{'abdominal pain': 0.7, 'dysuria': 0.5, 'frequent urination': 0.6, 'hematuria': 0.6, 'weakness': 0.5, 'painful urination': 0.6, 'cloudy urine': 0.7, 'ureter stone detected': 1.0}]"
campylobacteriosis,"[{'fever': 0.9, 'headache': 0.75, 'muscle pain': 0.75, 'diarrhea': 0.9, 'cramps': 0.9, 'abdominal pain': 0.9, 'hyperpyrexia': 0.1, 'bacteremia': 0.1, 'stool containing bacterias': 1.0}]"
cholangitis,"[{'fatigue': 0.7, 'fever': 0.7, 'jaundice': 0.7, 'weight loss': 0.5, 'abdominal pain': 0.6, 'itching': 0.5, 'chills': 0.5, 'tremor': 0.4, 'night sweats': 0.5, 'abnormal lft': 0.7, 'inflamed bilduct': 1.0}]"
cholecystitis,"[{'nausea': 0.7, 'vomiting': 0.7, 'fever': 0.7, 'abdominal pain': 0.7, 'jaundice': 0.7, 'cystic duct obstructed': 1.0}]"
chronic kidney disease,"[{'nausea': 0.5, 'vomiting': 0.5, 'loss of appetite': 0.5, 'fatigue': 0.6, 'weakness': 0.6, 'sleeping problems': 0.7, 'azotemia': 0.7, 'hypertension': 0.6, 'tenderness': 0.6, 'abdominal pain': 0.6, 'back pain': 0.5, 'confusion': 0.6, 'kidney progressive damage': 1.0}]"
cirrhosis,"[{'fatigue': 0.5, 'jaundice': 0.7, 'loss of appetite': 0.7, 'fever': 0.7, 'nausea': 0.6, 'portal hypertension': 0.5, 'slurred speech': 0.5, 'weakness': 0.5, 'hair loss': 0.4, 'a1at deficiency': 0.7, 'dark urine': 0.6, 'abnormal lft': 0.6, 'sclerotic liver tissue': 1.0}]"
coeliac disease,"[{'diarrhea': 0.7, 'fatigue': 0.7, 'weight loss': 0.5, 'anemia': 0.7, 'headache': 0.6, 'muscle and joint pain': 0.5, 'irritability': 0.5, 'itchy blisters': 0.5, 'celiac antibodies detected': 1.0}]"
crohn's disease,"[{'abdominal pain': 0.7, 'diarrhea': 0.6, 'bloating': 0.5, 'excessive flatulence': 0.5, 'fever': 0.6, 'fatigue': 0.6, 'weight loss': 0.5, 'abdominal cramps': 0.7, 'hematochezia': 0.6, 'fat malabsorption': 0.6, 'anemia': 0.6, 'elevated crp': 0.5, ""crohn's disease discovered"": 1.0}]"
duodenitis,"[{'abdominal pain': 0.7, 'nausea': 0.6, 'vomiting': 0.6, 'anemia': 0.6, 'indigestion': 0.25, 'excessive belching': 0.5, 'duodenitis discovered': 1.0}]"
esophageal varices,"[{'oesophagus abnormalities': 0.8, 'vomiting': 0.7, 'jaundice': 0.6, 'purpura': 0.2, 'hematochezia': 0.7, 'portal hypertension': 0.7, 'varices in the oesophagus': 1.0}]"
esophagitis,"[{'chest pain': 0.7, 'nausea': 0.7, 'swallow pain': 0.7, 'vomiting': 0.7, 'oesophagus abnormalities': 0.6, 'hyperacidity': 0.3, 'fever': 0.6, 'oesophagus infection': 1.0}]"
exocrine pancreatic insufficiency,"[{'steatorrhea': 0.7, 'weight loss': 0.7, 'fatigue': 0.6, 'excessive flatulence': 0.5, 'anemia': 0.6, 'vitamin deficiency': 0.7, 'fat malabsorption': 0.7, 'abdominal pain': 0.6, 'elastase - low level': 1.0}]"
fistula of the intestine,"[{'abdominal pain': 0.7, 'bloating': 0.7, 'diarrhea': 0.7, 'dehydration': 0.4, 'intestinal fistula': 1.0}]"
gallstones,"[{'abdominal pain': 0.7, 'jaundice': 0.7, 'vomiting': 0.6, 'fever': 0.6, 'indigestion': 0.5, 'tenderness': 0.7, 'stomach pain': 0.4, 'bloating': 0.5, 'gallstones identified': 1.0}]"
gastritis,"[{'abdominal pain': 0.7, 'bloating': 0.6, 'nausea': 0.5, 'vomiting': 0.5, 'loss of appetite': 0.6, 'tenderness': 0.6, 'stomach pain': 0.2, 'indigestion': 0.25, 'gastritis discovered': 1.0}]"
glomerulonephritis,"[{'azotemia': 0.4, 'hematuria': 0.4, 'proteinuria': 0.4, 'oliguria': 0.4, 'hyperlipidemia': 0.4, 'edema': 0.4, 'lipiduria': 0.4, 'back pain': 0.7, 'weight gain': 0.7, 'kidney tissue inflamed': 1.0}]"
grave's disease,"[{'anxiety': 0.5, 'diarrhea': 0.6, 'weight loss': 0.7, 'weakness': 0.7, 'tremor': 0.3, 'swollen thyroid gland': 0.5, 'fever': 0.7, 'tsh - low level': 1.0}]"
h. pylori infection,"[{'bloating': 0.6, 'bad breath': 0.2, 'weight loss': 0.7, 'vomiting': 0.7, 'fatigue': 0.6, 'loss of appetite': 0.6, 'excessive belching': 0.5, 'abdominal pain': 0.7, 'tenderness': 0.6, 'anemia': 0.7, 'h. pylori detected': 1.0}]"
hashimoto's thyroiditis,"[{'fever': 0.4, 'fatigue': 0.5, 'weakness': 0.5, 'swallow pain': 0.7, 'hoarseness': 0.5, 'dysphagia': 0.6, 'swollen thyroid gland': 0.7, 'inflamed thyroid': 1.0}]"
hepatic fibrosis,"[{'fatigue': 0.6, 'weight loss': 0.5, 'weakness': 0.6, 'jaundice': 0.7, 'nausea': 0.5, 'abdominal pain': 0.7, 'portal hypertension': 0.5, 'dark urine': 0.7, 'elevated crp': 0.5, 'fibrotic liver tissue': 1.0}]"
hus,"[{'diarrhea': 0.9, 'hematochezia': 0.75, 'abdominal pain': 0.9, 'fever': 0.7, 'cramps': 0.75, 'bloating': 0.75, 'vomiting': 0.75, 'anemia': 0.9, 'breathing problems': 0.9, 'fatigue': 0.9, 'hematuria': 0.9, 'dysuria': 0.9, 'confusion': 0.9, 'e.coli toxin detected': 1.0}]"
hypothyroidism,"[{'fatigue': 0.7, 'hair loss': 0.4, 'constipation': 0.7, 'weight gain': 0.4, 'hyperlipidemia': 0.5, 'weakness': 0.5, 'irritability': 0.6, 'cramps': 0.2, 'swollen thyroid gland': 0.6, 'depression': 0.5, 'bradycardia': 0.6, 'hearing problems': 0.2, 'tsh - high level': 1.0}]"
interstitial cystitis,"[{'urinary urgency': 0.6, 'frequent urination': 0.7, 'abdominal pain': 0.7, 'bladder lining defect': 1.0}]"
