Diagnosis,Symptoms
angle-closure glaucoma,"{'eye pain': 0.6, 'nausea': 0.5, 'vomiting': 0.5, 'headache': 0.5, 'blurred vision': 0.6, 'ocular hypertension': 0.5, 'visual field limited': 0.5, 'photophobia': 0.6, 'watery eyes': 0.7, 'closed angle': 1.0}"
blepharitis,"[{'red eye': 0.7, 'itchy eyes': 0.7, 'photophobia': 0.7, 'swollen eyelids': 0.7, 'watery eyes': 0.7, 'eye pain': 0.6, 'ocular hypertension': 0.4, 'bacterial blepharitis': 1.0}]"
botulism,"[{'dysphagia': 0.9, 'slurred speech': 0.9, 'hypotension': 0.75, 'constipation': 0.75, 'nausea': 0.9, 'vomiting': 0.9, 'breathing problems': 0.9, 'dyspnea': 0.5, 'c.botulinum detected': 1.0}]"
cerebral contusion,"[{'injury to the head': 1.0, 'confusion': 0.7, 'dizziness': 0.7, 'nausea': 0.7, 'vomiting': 0.7, 'slurred speech': 0.7, 'long reaction time': 0.7, 'ringing in the ears': 0.7, 'head trauma': 0.99, 'poor balance': 0.7, 'headache': 0.7, 'fainting': 0.3, 'increased icp': 0.7, 'cerebral contusion findings': 1.0}]"
cipd,"[{'weakness': 0.7, 'muscle weakness': 0.7, 'fatigue': 0.6, 'malaise': 0.6, 'loss of bladder control': 0.7, 'numbness': 0.7, 'harmful antibodies': 0.7, 'demyelinization findings': 1.0}]"
cluster headache,"[{'headache': 0.7, 'pain': 0.7, 'watery eyes': 0.7, 'sweating': 0.6, 'pale skin': 0.7, 'swollen eyelids': 0.7, 'red eye': 0.7, 'cluster headache findings': 1.0}]"
concussion,"[{'confusion': 0.7, 'dizziness': 0.7, 'nausea': 0.7, 'vomiting': 0.7, 'slurred speech': 0.7, 'long reaction time': 0.7, 'amnesia about trauma': 0.7, 'head trauma': 1.0, 'ringing in the ears': 0.7, 'fainting': 0.3, 'headache': 0.7, 'fatigue': 0.7, 'photophobia': 0.7, 'poor balance': 0.7, 'concussion': 1.0}]"
conjunctivitis (allergic),"[{'red eye': 0.7, 'itchy eyes': 0.6, 'blurred vision': 0.7, 'burning eye': 0.7, 'watery eyes': 0.7, 'allergic conjunctivitis': 1.0}]"
conjunctivitis (bacterial),"[{'photophobia': 0.6, 'red eye': 0.7, 'itchy eyes': 0.6, 'blurred vision': 0.7, 'ocular hypertension': 0.4, 'burning eye': 0.7, 'eye pain': 0.6, 'watery eyes': 0.7, 'bacterial conjunctivitis': 1.0}]"
corneal abrasion,"[{'eye pain': 0.5, 'itchy eyes': 0.5, 'watery eyes': 0.6, 'red eye': 0.7, 'photophobia': 0.6, 'loss of vision': 0.4, 'headache': 0.6, 'scratched cornea': 1.0}]"
crvo,"[{'blurred vision': 0.6, 'loss of vision': 0.5, 'visual field limited': 0.5, 'hypertension': 0.5, 'ocular hypertension': 0.5, 'ldl high level': 0.2, 'vein occlusion': 1.0}]"
diffuse axonal injury,"[{'injury to the head': 1.0, 'confusion': 0.7, 'headache': 0.7, 'nausea': 0.7, 'vomiting': 0.7, 'fatigue': 0.7, 'fainting': 0.7, 'sleeping problems': 0.7, 'poor balance': 0.7, 'dizziness': 0.7, 'slurred speech': 0.7, 'diffuse axonal injury': 1.0}]"
encephalitis,"[{'headache': 0.7, 'fever': 0.7, 'muscle and joint pain': 0.7, 'fatigue': 0.7, 'confusion': 0.7, 'hallucination': 0.7, 'muscle weakness': 0.7, 'weakness': 0.7, 'slurred speech': 0.7, 'poor balance': 0.7, 'breathing problems': 0.7, 'irregular heartbeat': 0.5, 'brain inflammation': 1.0}]"
guillain-barre syndrome,"[{'finger numbness': 0.7, 'weakness': 0.7, 'walking difficulties': 0.7, 'pain': 0.7, 'tachycardia': 0.7, 'back pain': 0.7, 'hypertension': 0.7, 'breathing problems': 0.7, 'waddling gait': 0.7, 'harmful antibodies': 0.9, 'guillain-barre detected': 1.0}]"
hypertensive retinopathy,"[{'visual field limited': 0.7, 'swollen eyelids': 0.7, 'blurred vision': 0.7, 'headache': 0.7, 'hypertension': 0.7, 'ldl high level': 0.6, 'retinopathy discovered': 1.0}]"
keratitis - bacterial,"[{'red eye': 0.6, 'eye pain': 0.7, 'watery eyes': 0.6, 'blurred vision': 0.5, 'ocular hypertension': 0.5, 'photophobia': 0.5, 'itchy eyes': 0.5, 'p. aeruginosa': 1.0}]"
migraine,"[{'photophobia': 0.7, 'constipation': 0.7, 'depression': 0.7, 'stiffness of the neck': 0.7, 'thirst': 0.7, 'blurred vision': 0.7, 'weakness': 0.7, 'numbness': 0.7, 'slurred speech': 0.7, 'hearing problems': 0.7, 'pain': 0.7, 'dizziness': 0.7, 'vomiting': 0.7, 'headache': 0.7, 'migraine detected': 1.0}]"
neuromyelitis optica,"[{'muscle weakness': 0.7, 'weakness': 0.6, 'spasms': 0.5, 'loss of bladder control': 0.7, 'numbness': 0.7, 'loss of vision': 0.7, 'harmful antibodies': 0.7, 'neuromyelitis discovered': 1.0}]"
open-angle glaucoma,"[{'headache': 0.7, 'nausea': 0.7, 'vomiting': 0.7, 'blurred vision': 0.7, 'red eye': 0.7, 'loss of vision': 0.7, 'eye pain': 0.7, 'ocular hypertension': 0.7, 'visual field limited': 0.7, 'optic nerve atrophy': 1.0}]"
