symptom,examination 1,examination 2,examination 3
a1at deficiency,blood test testing,,
abdominal cramps,interview,abdominal palpation,
abdominal guarding,abdominal palpation,,
abdominal injury,interview,physical and visual examination,
abdominal pain,interview,abdominal palpation,
swollen abdomen,interview,abdominal palpation,
abscess,physical and visual examination,,
acidosis,blood test testing,,
alveolar collapse,physical and visual examination,,
amnesia about trauma,interview,,
anemia,blood test testing,,
ankle bruise,interview,physical and visual examination,
ankle injury,interview,physical and visual examination,
anxiety,interview,speech listening,
astasis,interview,physical and visual examination,
atherosclerosis,echo,echo,
azotemia,blood test testing,,
back injury,interview,physical and visual examination,
back pain,interview,physical and visual examination,
bacteremia,bacteria cultivation testing,urgent blood analysis,
bad breath,interview,oral cavity inspection,
bleeding from the wound,physical and visual examination,,
bloating,interview,abdominal palpation,
blood loss,interview,physical and visual examination,
blurred vision,interview,basic visual test,ophthalmoscopy
bone fracture visible,interview,physical and visual examination,
bradycardia,ecg,,
brain swelling,ct,,
breathing problems,interview,chest listening,
bruise,interview,physical and visual examination,
burning eye,interview,physical and visual examination,
butterfly rash,physical and visual examination,,
cardiac tamponade,echo,echo,
cardiomegaly,echo,echo,
cerebrospinal fluid leakage,physical and visual examination,,
chest pain,interview,thorax percussion,
chills,interview,physical and visual examination,
cloudy urine,interview,urine sample analysis testing,
coma,physical and visual examination,,
confusion,interview,speech listening,
constipation,interview,abdominal palpation,
cramps,interview,physical and visual examination,
creatine kinase high,blood test testing,,
elevated crp,crp,,
crumbly nail,interview,physical and visual examination,
cyanosis,interview,physical and visual examination,
dark urine,interview,urine sample analysis testing,
degloved skin,interview,physical and visual examination,
dehydration,physical and visual examination,,
depression,interview,speech listening,
diarrhea,interview,,
diminished hearing,interview,audiometry,
dizziness,interview,,
dry cough,interview,chest listening,
dysphagia,interview,neck palpation,
dyspnea,physical and visual examination,,
dysuria,interview,,
ear fluid drainage,interview,ear examination,
edema,interview,physical and visual examination,
elbow pain,interview,physical and visual examination,
elbow stiffness,interview,physical and visual examination,
excessive belching,interview,physical and visual examination,
exhaustion,interview,,
eye pain,interview,physical and visual examination,
fainting,interview,neurological testing,
fat malabsorption,blood test testing,,
fatigue,interview,,
fever,interview,temperature measurement,
finger numbness,interview,physical and visual examination,
excessive flatulence,interview,,
frequent falling,interview,physical and visual examination,
frequent urination,interview,,
gallbladder rupture,usg,,
hair loss,interview,physical and visual examination,
hallucination,interview,eeg,
hand pain,interview,physical and visual examination,
hand weakness,interview,physical and visual examination,
harmful antibodies,serology testing testing,,
head trauma,interview,physical and visual examination,
headache,interview,physical and visual examination,
hearing problems,interview,audiometry,
heart failure,ecg,,
heat cramps,interview,physical and visual examination,
hematochezia,stool analysis testing,,
hematuria,interview,urine sample analysis testing,
hemiparesis,interview,physical and visual examination,
low hemoglobin,blood test testing,,
hemoptysis,interview,physical and visual examination,
hemorrhage,interview,physical and visual examination,
hoarseness,interview,oral cavity inspection,
hunger,interview,,
hyperacidity,interview,physical and visual examination,
hyperlipidemia,blood test testing,,
hyperpyrexia,interview,temperature measurement,
hypertension,blood pressure and pulse measurement,,
hypocalcaemia,blood test testing,,
hypotension,blood pressure and pulse measurement,,
hypovolemic shock,physical and visual examination,,
joint immobility,interview,physical and visual examination,
increased icp,spinal fluid analysis testing,,
indigestion,interview,,
infected wound,physical and visual examination,,
inflamed sinuses,physical and visual examination,,
arm injury,interview,,
chest injury,interview,,
injury to the collarbone,interview,,
foot injury,interview,,
hand injury,interview,,
injury to the head,physical and visual examination,,
leg injury,interview,,
internal bleeding stomach,gastroscopy,,
intestinal bleeding,gastroscopy,,
intracranial hemorrhage,ct,,
irregular heartbeat,heart monitoring,ecg,
irritability,interview,physical and visual examination,
irritable cough,interview,chest listening,
itching,interview,physical and visual examination,
itchy eyes,interview,physical and visual examination,
itchy blisters,interview,physical and visual examination,
jaundice,interview,physical and visual examination,
knee injury,interview,physical and visual examination,
ldl high level,blood test testing,,
leukocytosis,cbc testing,,
leukopenia,cbc testing,,
abnormal lft,blood test testing,,
limited arm motion,interview,physical and visual examination,
limited leg motion,interview,physical and visual examination,
lipiduria,urine sample analysis testing,,
long reaction time,speech listening,,
loss of appetite,interview,,
loss of bladder control,interview,physical and visual examination,
loss of vision,interview,ophthalmoscopy,
abnormal lung findings,x ray torso,,
malaise,interview,physical and visual examination,
malnutrition,blood test testing,,
mandibular injury,interview,physical and visual examination,
mouth opening difficulties,interview,oral cavity inspection,
multiple arteries damage,physical and visual examination,,
muscle pain,interview,physical and visual examination,
muscle weakness,interview,physical and visual examination,
muscle and joint pain,interview,physical and visual examination,
muscles and skin damaged,physical and visual examination,,
nail discoloration,interview,physical and visual examination,
nasal congestion,interview,nasal cavity inspection,
nasal deformity,interview,physical and visual examination,
nausea,interview,physical and visual examination,
neck pain,interview,physical and visual examination,
night sweats,interview,,
nosebleeds,interview,physical and visual examination,
numbness,interview,physical and visual examination,
ocular hypertension,tonometry,,
oesophagus abnormalities,barrium swallow x ray,,
oliguria,interview,physical and visual examination,
open wound,interview,physical and visual examination,
osteoporosis,ct,,
otalgia,interview,ear examination,
orl findings,laryngoscopy,,
pain,interview,physical and visual examination,
pain in the ears,interview,ear examination,
painful lymph nodes,interview,neck palpation,
painful urination,interview,physical and visual examination,
painful vesicular rash,interview,physical and visual examination,
pale skin,interview,physical and visual examination,
palpitations,interview,ecg,
urinary urgency,interview,,
petechiae,interview,physical and visual examination,
photophobia,interview,neurological testing,
pneumatocele,fast,,
polyuria,interview,,
poor balance,interview,physical and visual examination,
portal hypertension,usg,,
prolonged bleeding,interview,physical and visual examination,
proteinuria,urine sample analysis testing,,
pulmonary artery blockage,angiography,,
purpura,interview,physical and visual examination,
rash,interview,physical and visual examination,
rash on arm,interview,physical and visual examination,
rash on leg,interview,physical and visual examination,
rash on neck,interview,physical and visual examination,
rash on torso,interview,physical and visual examination,
red eye,interview,physical and visual examination,
red swollen tonsils,oral cavity inspection,,
redness,interview,physical and visual examination,
redness of skin,interview,physical and visual examination,
redness of swelling,interview,physical and visual examination,
respiratory failure,physical and visual examination,,
ringing in the ears,interview,ear examination,
sagging shoulder,interview,physical and visual examination,
seizures,physical and visual examination,,
sepsis,urgent blood analysis,urgent blood analysis,
septic shock,cbc testing,,
severe arm pain,interview,physical and visual examination,
severe hemorrhage,interview,physical and visual examination,
severe leg pain,interview,physical and visual examination,
severe pain in ankle,interview,physical and visual examination,
shortness of breath,interview,chest listening,
shoulder injury,interview,,
skin avulsion,interview,physical and visual examination,
skull basis fracture,ct,,
skull fracture,ct,,
sleeping problems,interview,,
slurred speech,speech listening,,
sneezing,interview,physical and visual examination,
sore throat,interview,oral cavity inspection,
spasms,interview,physical and visual examination,
sputum cough,interview,chest listening,
steatorrhea,stool analysis testing,,
stiffness,interview,physical and visual examination,
stiffness in the hip,interview,physical and visual examination,
stiffness in the knee,interview,physical and visual examination,
stiffness of the back,interview,physical and visual examination,
stiffness of the joints,interview,physical and visual examination,
stiffness of the neck,interview,physical and visual examination,
stomach pain,interview,physical and visual examination,
strong-smelling urine,interview,urine sample analysis testing,
suppurative tonsils,oral cavity inspection,,
swallow pain,interview,neck palpation,
sweating,interview,physical and visual examination,
swelling,interview,physical and visual examination,
swelling foot,interview,physical and visual examination,
swelling joints,interview,physical and visual examination,
swelling knee,interview,physical and visual examination,
swelling limbs,interview,physical and visual examination,
swollen ear canal,interview,ear examination,
swollen ear lobe,interview,physical and visual examination,
swollen eyelids,interview,physical and visual examination,
swollen lymph nodes,interview,neck palpation,
swollen thyroid gland,neck palpation,,
tachycardia,ecg,echo,
tenderness,interview,physical and visual examination,
nail thickening,interview,physical and visual examination,
thirst,interview,,
thumb pain,interview,physical and visual examination,
tremor,interview,physical and visual examination,
trouble rising,interview,physical and visual examination,
ulnar claw,interview,physical and visual examination,
unconsciousness,physical and visual examination,,
unstable blood pressure,blood pressure and pulse measurement,,
unstoppable bleeding,interview,physical and visual examination,
visual field limited,perimetry,,
vitamin deficiency,blood test testing,,
vomiting,interview,,
waddling gait,interview,physical and visual examination,
walking difficulties,interview,physical and visual examination,
warmth,interview,physical and visual examination,
watery eyes,interview,physical and visual examination,
weakness,interview,,
weight gain,interview,physical and visual examination,
weight loss,interview,physical and visual examination,
wheezing,interview,chest listening,
wound infection,physical and visual examination,,
wrist pain,interview,physical and visual examination,
acl injury,mri,,
airways infected,bacteria cultivation testing,,
allergen detected,skin injection test,,
allergic conjunctivitis,skin injection test,,
allergy discovered,skin injection test,,
ankle contusion,x ray lower limb,,
ankle fracture,x ray lower limb,,
ankle sprain,mri,,
aortic aneurysm,echo,,
arm penetration,physical and visual examination,,
arterial stenosis,angiography,,
aspergilloma discovered,ct,,
atopic eczema findings,physical and visual examination,,
